TITLE,AUTHOR,FILEPATH
The Return of Sherlock Holmes,['Arthur Conan Doyle'],./data/1/0/108/108.txt
Renascence and Other Poems,['Edna St. Vincent Millay'],./data/1/0/109/109.txt
The Desert of Wheat,['Zane Grey'],./data/1/0/2/0/10201/10201/10201.txt
"Maria Mitchell: Life, Letters, and Journals",['Maria Mitchell'],./data/1/0/2/0/10202/10202/10202.txt
Wolves of the Sea,['Randall Parrish'],./data/1/0/2/1/10210/10210/10210.txt
At Whispering Pine Lodge,['Lawrence J. Leslie'],./data/1/0/2/1/10211/10211/10211.txt
Peck's Bad Boy at the Circus,['George W. Peck'],./data/1/0/2/1/10212/10212/10212.txt
The Everlasting Whisper,['Jackson Gregory'],./data/1/0/2/1/10213/10213/10213.txt
Introduction to the Philosophy and Writings of Plato,['Thomas Taylor'],./data/1/0/2/1/10214/10214/10214.txt
Poems,['Marietta Holley'],./data/1/0/2/1/10216/10216/10216.txt
The Land Of Little Rain,['Mary Hunter Austin'],./data/1/0/2/1/10217/10217/10217.txt
The Poetical Works of William Wordsworth,[''],./data/1/0/2/1/10219/10219/10219.txt
Sword Blades and Poppy Seed,['Amy Lowell'],./data/1/0/2/1020/1020.txt
The Congo and Other Poems,['Vachel Lindsay'],./data/1/0/2/1021/1021.txt
Walking,['Henry David Thoreau'],./data/1/0/2/1022/1022.txt
Bleak House,['Charles Dickens'],./data/1/0/2/1023/1023.txt
The Wrecker,"['Robert Louis Stevenson', 'Lloyd Osbourne']",./data/1/0/2/1024/1024.txt
The Diary of a Nobody,['George Grossmith'],./data/1/0/2/1026/1026-0.txt
The Lone Star Ranger,['Zane Grey'],./data/1/0/2/1027/1027.txt
The Professor,[' Currer Bell'],./data/1/0/2/1028/1028.txt
The Night-Born,['Jack London'],./data/1/0/2/1029/1029.txt
Daddy Takes Us Skating,['Howard R. Garis'],./data/1/0/2/2/10220/10220.txt
Purple Springs,['Nellie L. McClung'],./data/1/0/2/2/10221/10221.txt
The Pilgrims of New England,['Mrs. J.B. Webb'],./data/1/0/2/2/10222/10222/10222.txt
Our Little Alaskan Cousin,['Mary F. Nixon-Roulet'],./data/1/0/2/2/10224/10224.txt
Their Crimes,['Various'],./data/1/0/2/2/10225/10225/10225.txt
Beautiful Joe,['Marshall Saunders'],./data/1/0/2/2/10226/10226/10226.txt
Old Creole Days,['George Washington Cable'],./data/1/0/2/3/10234/10234/10234.txt
Town Geology,['Charles Kingsley'],./data/1/0/2/5/10251/10251.txt
The Glands Regulating Personality,"['Louis Berman', 'M.D.']",./data/1/0/2/6/10266/10266/10266.txt
The Outdoor Chums,['Captain Quincy Allen'],./data/1/0/2/6/10267/10267/10267.txt
Patty at Home,['Carolyn Wells'],./data/1/0/2/6/10268/10268/10268.txt
Sermons on Evil-Speaking,['Isaac Barrow'],./data/1/0/2/7/10274/10274.txt
In The Fourth Year,['H.G. Wells'],./data/1/0/2/9/10291/10291/10291.txt
"Punchinello, Vol. 2, No. 36, December 3, 1870",['Various'],./data/1/0/2/9/10292/10292/10292.txt
Verse and Prose for Beginners in Reading,"['Horace Elisha Scudder', 'editor']",./data/1/0/2/9/10294/10294/10294.txt
Audio: After Dinner Toast at Little Menlo,['Arthur Sullivan'],./data/1/0/3/1/10310/10310.txt
Sonnets,['Michael Angelo Buonarroti & Tommaso Campanella'],./data/1/0/3/1/10314/10314/10314.txt
"Persian Literature, Volume 1,Comprising The Shah Nameh, The",['Anonymous'],./data/1/0/3/1/10315/10315.txt
Roy Blakeley's Adventures in Camp,['Percy Keese Fitzhugh'],./data/1/0/3/1/10316/10316.txt
Betty Gordon at Boarding School,['Alice Emerson'],./data/1/0/3/1/10317/10317/10317.txt
Damon and Delia,['William Godwin'],./data/1/0/3/1/10318/10318.txt
Dave Darrin's Third Year at Annapolis,['H. Irving Hancock'],./data/1/0/3/1/10319/10319/10319.txt
The Cavalier Songs and Ballads of England,['Various'],./data/1/0/3/1030/1030-0.txt
Charmides and Other Poems,['Oscar Wilde'],./data/1/0/3/1031/1031-0.txt
The Pupil,['Henry James'],./data/1/0/3/1032/1032-0.txt
The Pupil,['Henry James'],./data/1/0/3/1032/1032.txt
Rose O' the River,['Kate Douglas Wiggin'],./data/1/0/3/1033/1033.txt
Poems,['Wilfred Owen'],./data/1/0/3/1034/1034.txt
The Man Against the Sky,['Edwin Arlington Robinson'],./data/1/0/3/1035/1035.txt
Joe Wilson and His Mates,['Henry Lawson'],./data/1/0/3/1036/1036.txt
The Life of John Bunyan,['Edmund Venables'],./data/1/0/3/1037/1037.txt
Style,['Walter Raleigh'],./data/1/0/3/1038/1038-0.txt
Missionary Travels and Researches in South Africa,['David Livingstone'],./data/1/0/3/1039/1039.txt
Dotty Dimple at Play,['Sophie May'],./data/1/0/3/2/10320/10320/10320.txt
